publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subject_collection	copyright_year	discipline
Conquering the Highlands: A history of the afforestation of the Scottish uplands	9781922144782	978-1-922144-79-9							http://www.jstor.org/stable/10.2307/j.ctt2jbkm4	Oosthoek, Jan	10.2307/j.ctt2jbkm4		fulltext		ANU E Press	monograph								P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2013	Ecology & Evolutionary Biology
Green Carbon Part 1: The role of natural forests in carbon storage	9781921313875	978-1-921313-88-2							http://www.jstor.org/stable/10.2307/j.ctt24hcnf	Mackey, Brendan;Keith, Heather;Berry, Sandra L.;Lindenmayer, David B.	10.2307/j.ctt24hcnf		fulltext		ANU E Press	monograph								P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2008	Ecology & Evolutionary Biology,Environmental Science
Green Carbon Part 2: The role of natural forests in carbon storage	9781921666704	978-1-921666-71-1							http://www.jstor.org/stable/10.2307/j.ctt24hdf0	Berry, Sandra;Keith, Heather;Mackey, Brendan;Brookhouse, Matthew;Jonson, Justin	10.2307/j.ctt24hdf0		fulltext		ANU E Press	monograph								P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2010	Ecology & Evolutionary Biology,Environmental Science
Climate Change and Forests: Emerging Policy and Market Opportunities		978-0-8157-0148-4							http://www.jstor.org/stable/10.7864/j.ctt1262cq		10.7864/j.ctt1262cq		fulltext		Brookings Institution Press	monograph					Streck, Charlotte;O'Sullivan, Robert;Janson-Smith, Toby;Tarasofsky, Richard			P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2008	Environmental Science,Political Science
Darwin's Harvest: New Approaches to the Origins, Evolution, and Conservation of Crops		978-0-231-50809-4							http://www.jstor.org/stable/10.7312/motl13316		10.7312/motl13316		fulltext		Columbia University Press	monograph					Motley, Timothy			P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2006	Anthropology,Biological Sciences,Botany & Plant Sciences
Emulating Natural Forest Landscape Disturbances: Concepts and Applications		978-0-231-50308-2							http://www.jstor.org/stable/10.7312/pere12916		10.7312/pere12916		fulltext		Columbia University Press	monograph					Perera, Ajith H.;Buse, Lisa J.;Weber, Michael G.			P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2004	Ecology & Evolutionary Biology,Environmental Science,Political Science
GIS Methodologies for Developing Conservation Strategies: Tropical Forest Recovery and Willdlife Management in Costa Rica		978-0-231-50501-7							http://www.jstor.org/stable/10.7312/savi10026		10.7312/savi10026		fulltext		Columbia University Press	monograph					Savitsky, Basil G.;Lacher, Thomas E.			P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	1998	Ecology & Evolutionary Biology,Environmental Science
Human Impacts on Amazonia: The Role of Traditional Ecological Knowledge in Conservation and Development		978-0-231-51735-5							http://www.jstor.org/stable/10.7312/pose10588		10.7312/pose10588		fulltext		Columbia University Press	monograph					Posey, Darrell A.;Balick, Michael J.			P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2006	Anthropology,Ecology & Evolutionary Biology,Environmental Science
Indians, Markets, and Rainforests: Theoretical, Comparative, and Quantitative Explorations in the Neotropics		978-0-231-50503-1							http://www.jstor.org/stable/10.7312/godo11784	Godoy, Ricardo	10.7312/godo11784		fulltext		Columbia University Press	monograph								P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2001	Business,Economics,Environmental Science,Sociology
Our Forest, Your Ecosystem, Their Timber: Communities, Conservation, and the State in Community-Based Forest Management		978-0-231-51023-3							http://www.jstor.org/stable/10.7312/menz13692	Menzies, Nicholas K.	10.7312/menz13692		fulltext		Columbia University Press	monograph								P	Books at JSTOR Plants: Biodiversity, Conservation & Ecology (Set 1)	2007	Business,Economics,Environmental Science,Political Science
